ko_number	name	description	metabolism
K01213	E3.2.1.67	galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]	CAZymes glycoside hydrolase
K01214	ISA, treX	isoamylase [EC:3.2.1.68]	CAZymes glycoside hydrolase
K01215	dexB	glucan 1,6-alpha-glucosidase [EC:3.2.1.70]	CAZymes glycoside hydrolase
K01216	bglS	licheninase [EC:3.2.1.73]	CAZymes glycoside hydrolase
K01217	IDUA	L-iduronidase [EC:3.2.1.76]	CAZymes glycoside hydrolase
K01218	gmuG	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	CAZymes glycoside hydrolase
K01219	E3.2.1.81	beta-agarase [EC:3.2.1.81]	CAZymes glycoside hydrolase
K01220	E3.2.1.85, lacG	6-phospho-beta-galactosidase [EC:3.2.1.85]	CAZymes glycoside hydrolase
K01222	E3.2.1.86A, celF	6-phospho-beta-glucosidase [EC:3.2.1.86]	CAZymes glycoside hydrolase
K01223	E3.2.1.86B, bglA	6-phospho-beta-glucosidase [EC:3.2.1.86]	CAZymes glycoside hydrolase
K01224	E3.2.1.89	arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]	CAZymes glycoside hydrolase
K01225	CBH1	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	CAZymes glycoside hydrolase
K01226	treC	trehalose-6-phosphate hydrolase [EC:3.2.1.93]	CAZymes glycoside hydrolase
K01227	ENGASE	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	CAZymes glycoside hydrolase
K01228	MOGS	mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	CAZymes glycoside hydrolase
K01230	MAN1A_C, MNS1_2	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]	CAZymes glycoside hydrolase
K01231	MAN2	alpha-mannosidase II [EC:3.2.1.114]	CAZymes glycoside hydrolase
K01232	glvA	maltose-6'-phosphate glucosidase [EC:3.2.1.122]	CAZymes glycoside hydrolase
K01233	csn	chitosanase [EC:3.2.1.132]	CAZymes glycoside hydrolase
K01235	aguA	alpha-glucuronidase [EC:3.2.1.139]	CAZymes glycoside hydrolase
K01236	treZ, glgZ	maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]	CAZymes glycoside hydrolase
K01237	E3.2.1.147	myrosinase [EC:3.2.1.147]	CAZymes glycoside hydrolase
K01238	SUN	SUN family beta-glucosidase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K01238	SUN	SUN family beta-glucosidase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K01436	yhaA	amidohydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K01436	yhaA	amidohydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K01443	nagA, AMDHD2	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	CAZymes carbohydrate esterase
K01452	E3.5.1.41	chitin deacetylase [EC:3.5.1.41]	CAZymes carbohydrate esterase
K01463	bshB1	N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]	CAZymes carbohydrate esterase
K01463	bshB1	N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]	CAZymes glycoside hydrolase
K01567	pdaA	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K01567	pdaA	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K01727	hysA, hylA, hylB	hyaluronate lyase [EC:4.2.2.1]	CAZymes polysaccharide lyase
K01728	pel	pectate lyase [EC:4.2.2.2]	CAZymes polysaccharide lyase
K01729	algL	poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	CAZymes polysaccharide lyase
K01730	ogl	oligogalacturonide lyase [EC:4.2.2.6]	CAZymes polysaccharide lyase
K01731	pelW	pectate disaccharide-lyase [EC:4.2.2.9]	CAZymes polysaccharide lyase
K01732	E4.2.2.10	pectin lyase [EC:4.2.2.10]	CAZymes polysaccharide lyase
K01811	xylS, yicI	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	CAZymes glycoside hydrolase
K02079	agaA	N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]	CAZymes carbohydrate esterase
K02352	drp35	lactonase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K02359	EGH	beta-1,4-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K02368	EXTL1	alpha-1,4-N-acetylglucosaminyltransferase EXTL1 [EC:2.4.1.224]	CAZymes glycosyl transferase
K02369	EXTL2	alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]	CAZymes glycosyl transferase
K02535	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	CAZymes carbohydrate esterase
K02563	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	CAZymes glycosyl transferase
K02840	waaB, rfaB	UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K02844	waaG, rfaG	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K02847	waaL, rfaL	O-antigen ligase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K02853	wzyE, rffT	enterobacterial common antigen polymerase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03275	waaO, rfaI	UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03276	waaR, waaT, rfaJ	UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03278	waaI, rfaI	UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]	CAZymes glycosyl transferase
K03279	waaJ, rfaJ	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]	CAZymes glycosyl transferase
K03280	waaK, rfaK	UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.56]	CAZymes glycosyl transferase
K03332	fruA	fructan beta-fructosidase [EC:3.2.1.80]	CAZymes glycoside hydrolase
K03419	CHPF2	chondroitin polymerizing factor 2 [EC:2.4.1.226]	CAZymes glycosyl transferase
K03434	PIGL	N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]	CAZymes carbohydrate esterase
K03476	ulaG	L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K03663	FUT9	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase [EC:2.4.1.152]	CAZymes glycosyl transferase
K03669	mdoH	membrane glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03691	POFUT	peptide-O-fucosyltransferase [EC:2.4.1.221]	CAZymes glycosyl transferase
K03692	E2.4.1.213	glucosylglycerol-phosphate synthase [EC:2.4.1.213]	CAZymes glycosyl transferase
K03714	XYLT	glycoprotein 2-beta-D-xylosyltransferase [EC:2.4.2.38]	CAZymes glycosyl transferase
K03715	MGD	1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]	CAZymes glycosyl transferase
K03731	E2.4.1.216	trehalose 6-phosphate phosphorylase [EC:2.4.1.216]	CAZymes glycoside hydrolase
K03813	modD	molybdenum transport protein [EC:2.4.2.-]	CAZymes glycosyl transferase
K03814	mtgA	monofunctional glycosyltransferase [EC:2.4.1.129]	CAZymes glycosyl transferase
K03842	ALG1	beta-1,4-mannosyltransferase [EC:2.4.1.142]	CAZymes glycosyl transferase
K03844	ALG11	alpha-1,2-mannosyltransferase [EC:2.4.1.131]	CAZymes glycosyl transferase
K03845	ALG3	alpha-1,3-mannosyltransferase [EC:2.4.1.258]	CAZymes glycosyl transferase
K03847	ALG12	alpha-1,6-mannosyltransferase [EC:2.4.1.260]	CAZymes glycosyl transferase
K03848	ALG6	alpha-1,3-glucosyltransferase [EC:2.4.1.267]	CAZymes glycosyl transferase
K03849	ALG8	alpha-1,3-glucosyltransferase [EC:2.4.1.265]	CAZymes glycosyl transferase
K03850	ALG10	alpha-1,2-glucosyltransferase [EC:2.4.1.256]	CAZymes glycosyl transferase
K03854	KTR	mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03857	PIGA, GPI3	phosphatidylinositol N-acetylglucosaminyltransferase subunit A [EC:2.4.1.198]	CAZymes glycosyl transferase
K03867	BGLUT	UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03877	B3GALT5	beta-1,3-galactosyltransferase 5 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K03929	pnbA	para-nitrobenzyl esterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K03930	estA	putative tributyrin esterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K03931	ygjK	glucosidase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K03931	ygjK	glucosidase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K03976	ybaK, ebsC	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K04478	sgtB	monofunctional glycosyltransferase [EC:2.4.1.129]	CAZymes glycosyl transferase
K04618	GAOA	galactose oxidase [EC:1.1.3.9]	CAZymes auxiliary activities
K04628	CGT, UGT8	ceramide galactosyltransferase [EC:2.4.1.47]	CAZymes glycosyl transferase
K04711	ACER3, YDC1	dihydroceramidase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K04711	ACER3, YDC1	dihydroceramidase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K05284	PIGM	GPI mannosyltransferase 1 subunit M [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05286	PIGB	GPI mannosyltransferase 3 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05341	E2.4.1.4	amylosucrase [EC:2.4.1.4]	CAZymes glycoside hydrolase
K05342	treP	alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]	CAZymes glycoside hydrolase
K05349	bglX	beta-glucosidase [EC:3.2.1.21]	CAZymes glycoside hydrolase
K05350	bglB	beta-glucosidase [EC:3.2.1.21]	CAZymes glycoside hydrolase
K05367	pbpC	penicillin-binding protein 1C [EC:2.4.1.129]	CAZymes glycosyl transferase
K05530	VAN1	mannan polymerase I complex VAN1 subunit [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05531	MNN10	mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05532	MNN11	mannan polymerase II complex MNN11 subunit [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05533	ANP1	mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05534	HOC1	mannan polymerase II complex HOC1 subunit [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05535	MNN2	alpha 1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05536	MNN5	alpha 1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05538	MNN1	alpha 1,3-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K05546	GANAB	mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]	CAZymes glycoside hydrolase
K05841	E2.4.1.173	sterol 3beta-glucosyltransferase [EC:2.4.1.173]	CAZymes glycosyl transferase
K05848	YPC1	phytoceramidase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K05848	YPC1	phytoceramidase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K05909	E1.10.3.2	laccase [EC:1.10.3.2]	CAZymes auxiliary activities
K05947	E2.4.1.217	mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]	CAZymes glycosyl transferase
K05948	FNG	fringe [EC:2.4.1.222]	CAZymes glycosyl transferase
K05972	AXE1	acetylxylan esterase [EC:3.1.1.72]	CAZymes carbohydrate esterase
K05988	dexA	dextranase [EC:3.2.1.11]	CAZymes glycoside hydrolase
K05989	ramA	alpha-L-rhamnosidase [EC:3.2.1.40]	CAZymes glycoside hydrolase
K05991	E3.2.1.123	endoglycosylceramidase [EC:3.2.1.123]	CAZymes glycoside hydrolase
K05992	amyM	maltogenic alpha-amylase [EC:3.2.1.133]	CAZymes glycoside hydrolase
K06044	treY, glgY	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]	CAZymes glycoside hydrolase
K06113	abnA	arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]	CAZymes glycoside hydrolase
K06119	SQD2	sulfoquinovosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K06611	E2.4.1.67	stachyose synthetase [EC:2.4.1.67]	CAZymes glycoside hydrolase
K06617	E2.4.1.82	raffinose synthase [EC:2.4.1.82]	CAZymes glycoside hydrolase
K06880	ereA_B	erythromycin esterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K07046	K07046	L-fuconolactonase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K07050	AARSD1, ALAX	misacylated tRNA(Ala) deacylase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K07151	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]	CAZymes glycosyl transferase
K07264	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]	CAZymes glycosyl transferase
K07272	rgpF	rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K07405	E3.2.1.1A	alpha-amylase [EC:3.2.1.1]	CAZymes glycoside hydrolase
K07406	melA	alpha-galactosidase [EC:3.2.1.22]	CAZymes glycoside hydrolase
K07407	E3.2.1.22B, galA, rafA	alpha-galactosidase [EC:3.2.1.22]	CAZymes glycoside hydrolase
K07542	PIGV	GPI mannosyltransferase 2 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K07632	FUT4	galactoside alpha-1,3-fucosyltransferase 4 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K07633	FUT5	galactoside alpha-1,3-fucosyltransferase 5 [EC:2.4.1.65]	CAZymes glycosyl transferase
K07634	FUT6	galactoside alpha-1,3-fucosyltransferase 6 [EC:2.4.1.65]	CAZymes glycosyl transferase
K07635	FUT7	galactoside alpha-1,3-fucosyltransferase 7 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K07964	HPSE	heparanase [EC:3.2.1.166]	CAZymes glycoside hydrolase
K07965	HPSE2	heparanase 2 [EC:3.2.1.-]	CAZymes carbohydrate esterase
K07965	HPSE2	heparanase 2 [EC:3.2.1.-]	CAZymes glycoside hydrolase
K07971	B3GNT4	beta-1,3-N-acetylglucosaminyltransferase 4 [EC:2.4.1.149]	CAZymes glycosyl transferase
K08095	E3.1.1.74	cutinase [EC:3.1.1.74]	CAZymes carbohydrate esterase
K08098	PIGZ, SMP3	GPI mannosyltransferase 4 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K08235	E2.4.1.207	xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]	CAZymes glycoside hydrolase
K08236	E2.4.1.210	limonoid glucosyltransferase [EC:2.4.1.210]	CAZymes glycosyl transferase
K08238	XXT	xyloglucan 6-xylosyltransferase [EC:2.4.2.39]	CAZymes glycosyl transferase
K08251	A4GNT	alpha 1,4-N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K08254	E3.2.1.59	glucan endo-1,3-alpha-glucosidase [EC:3.2.1.59]	CAZymes glycoside hydrolase
K08257	E3.2.1.101	mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]	CAZymes glycoside hydrolase
K09023	rutD	aminoacrylate hydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K09023	rutD	aminoacrylate hydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K09252	FAEB	feruloyl esterase [EC:3.1.1.73]	CAZymes carbohydrate esterase
K09252	FAEB	feruloyl esterase [EC:3.1.1.73]	CAZymes glycoside hydrolase
K09480	DGD	digalactosyldiacylglycerol synthase [EC:2.4.1.241]	CAZymes glycosyl transferase
K09655	B4GALNT2	beta-1,4-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09661	MGAT5B	mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09662	GCNT3	N-acetylglucosaminyltransferase 3, mucin type [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09663	GCNT4	beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09664	B3GNT7	beta-1,3-N-acetylglucosaminyltransferase 7 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09665	B3GNT8	beta-1,3-N-acetylglucosaminyltransferase 8 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09666	POMGNT1	beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09667	OGT	protein O-GlcNAc transferase [EC:2.4.1.255]	CAZymes glycosyl transferase
K09669	FUT10	alpha-1,3-fucosyltransferase 10 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K09953	lpxR	lipid A 3-O-deacylase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K10157	B3GAT2	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 [EC:2.4.1.135]	CAZymes glycosyl transferase
K10158	B3GAT3	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]	CAZymes glycosyl transferase
K10211	crtQ	4,4'-diaponeurosporenoate glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10231	kojP	kojibiose phosphorylase [EC:2.4.1.230]	CAZymes glycoside hydrolase
K10253	DODA	DOPA 4,5-dioxygenase [EC:1.14.99.-]	CAZymes auxiliary activities
K10677	E4.2.2.17	inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17]	CAZymes glycoside hydrolase
K10724	EO	ecdysone oxidase [EC:1.1.3.16]	CAZymes auxiliary activities
K10757	E2.4.1.91	flavonol 3-O-glucosyltransferase [EC:2.4.1.91]	CAZymes glycosyl transferase
K10967	KTR1_3	alpha 1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10968	MNT2	alpha 1,3-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10969	MNT3	alpha 1,3-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10970	MNN25	alpha 1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10971	GMA12	alpha 1,2-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K10999	CESA	cellulose synthase A [EC:2.4.1.12]	CAZymes glycosyl transferase
K11000	CALS	callose synthase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K11020	toxA	exotoxin A [EC:2.4.2.-]	CAZymes glycosyl transferase
K11023	ptxA, artA, pltA	pertussis toxin subunit 1 [EC:2.4.2.-]	CAZymes glycosyl transferase
K11044	spyA	C3 family ADP-ribosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K11157	PNPLA4	patatin-like phospholipase domain-containing protein 4 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K11257	FUT11	galactoside 3-L-fucosyltransferase 11 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K11331	nrsC	cation efflux system protein involved in nickel and cobalt tolerance [EC:3.2.1.17]	CAZymes glycoside hydrolase
K11385	embA	arabinosyltransferase A [EC:2.4.2.-]	CAZymes glycosyl transferase
K11386	embB	arabinosyltransferase B [EC:2.4.2.-]	CAZymes glycosyl transferase
K11387	embC	arabinosyltransferase C [EC:2.4.2.-]	CAZymes glycosyl transferase
K11702	CXT1	beta-1,2-xylosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K11714	RGXT	rhamnogalacturonan II specific xylosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K11718	HUGT	UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K11820	UGT74B1	N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]	CAZymes glycosyl transferase
K11931	pgaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K11931	pgaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K11936	pgaC, icaA	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12111	ebgA	evolved beta-galactosidase subunit alpha [EC:3.2.1.23]	CAZymes glycoside hydrolase
K12308	bgaB, lacA	beta-galactosidase [EC:3.2.1.23]	CAZymes glycoside hydrolase
K12309	GLB1, ELNR1	beta-galactosidase [EC:3.2.1.23]	CAZymes glycoside hydrolase
K12310	CTBS	Di-N-acetylchitobiase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K12310	CTBS	Di-N-acetylchitobiase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K12311	MAN2B1, LAMAN	lysosomal alpha-mannosidase [EC:3.2.1.24]	CAZymes glycoside hydrolase
K12312	MAN2B2	epididymis-specific alpha-mannosidase [EC:3.2.1.24]	CAZymes glycoside hydrolase
K12316	GAA	lysosomal alpha-glucosidase [EC:3.2.1.20]	CAZymes glycoside hydrolase
K12317	GANC	neutral alpha-glucosidase C [EC:3.2.1.20]	CAZymes glycoside hydrolase
K12357	NEU2_3_4	sialidase-2/3/4 [EC:3.2.1.18]	CAZymes glycoside hydrolase
K12373	HEXA_B	hexosaminidase [EC:3.2.1.52]	CAZymes glycoside hydrolase
K12551	sgtA	monofunctional glycosyltransferase [EC:2.4.1.129]	CAZymes glycosyl transferase
K12583	mgtA	phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12693	SGR1	strictosidine beta-D-glucosidase [EC:3.2.1.105]	CAZymes glycoside hydrolase
K12711	novM, cloM, couM	L-demethylnoviosyl transferase [EC:2.4.1.302]	CAZymes glycosyl transferase
K12930	BZ1	anthocyanidin 3-O-glucosyltransferase [EC:2.4.1.115]	CAZymes glycosyl transferase
K12938	GT1	anthocyanidin 5,3-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12939	3GT	anthocyanin 3'-O-beta-glucosyltransferase [EC:2.4.1.238]	CAZymes glycosyl transferase
K12976	pagL	lipid A 3-O-deacylase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K12981	waaZ, rfaZ	KDO transferase III [EC:2.4.99.-]	CAZymes glycosyl transferase
K12983	waaV	UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12984	waaE, kdtX	(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12985	waaW	(galactosyl)LPS 1,2-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12986	waaS, rfaS	1,5-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12987	migA	alpha-1,6-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12988	wapR	alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12989	lpcC	mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12990	rfbF, rhlC	rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12991	rfbG	rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12996	rgpA	rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12997	rgpB	rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12998	rgpE	glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K12999	rgpI	glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13000	wbyJ	mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13001	wbyK	mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13002	wbyL	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13003	wbtG	glycosyltransferase WbtG [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13004	wbtD	galacturonosyltransferase WbtD [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13007	wbpL	glycosyltransferase WbpL [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13008	rfc, wbbH, wzyB	O-antigen polymerase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13009	wzy	O-antigen polymerase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13014	arnD	undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K13014	arnD	undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K13031	AH	amygdalin beta-glucosidase [EC:3.2.1.117]	CAZymes glycoside hydrolase
K13032	PH	prunasin beta-glucosidase [EC:3.2.1.118]	CAZymes glycoside hydrolase
K13057	treT	trehalose synthase [EC:2.4.1.245]	CAZymes glycosyl transferase
K13068	BRT1	sinapate 1-glucosyltransferase [EC:2.4.1.120]	CAZymes glycosyl transferase
K13078	DICGT	chalcononaringenin 2'-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13227	BX8_9	UDP-glucosyltransferase BX8/BX9 [EC:2.4.1.202]	CAZymes glycosyl transferase
K13235	CAUGT2	UDP-glucose glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13263	IF7GT	isoflavone 7-O-glucosyltransferase [EC:2.4.1.170]	CAZymes glycosyl transferase
K13357	SPO1	putative meiotic phospholipase SPO1 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K13465	EIX	ethylene-1,4-beta-xylanase [EC:3.2.1.8]	CAZymes carbohydrate esterase
K13465	EIX	ethylene-1,4-beta-xylanase [EC:3.2.1.8]	CAZymes glycoside hydrolase
K13492	ZOG1	zeatin O-glucosyltransferase [EC:2.4.1.203]	CAZymes glycosyl transferase
K13493	UGT76C1_2	cytokinin-N-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13494	ZOX1	zeatin O-xylosyltransferase [EC:2.4.2.40]	CAZymes glycosyl transferase
K13495	CISZOG	cis-zeatin O-glucosyltransferase [EC:2.4.1.215]	CAZymes glycosyl transferase
K13496	UGT73C	UDP-glucosyltransferase 73C [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13535	CLD1	cardiolipin-specific phospholipase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K13556	neoK	UDP-N-acetyl-D-glucosamine:ribostamycin N-acetyl-D-glucosaminyltransferase [EC:2.4.1.285]	CAZymes glycosyl transferase
K13616	AADAC	arylacetamide deacetylase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K13657	gumH, aceA	alpha-1,3-mannosyltransferase [EC:2.4.1.252]	CAZymes glycosyl transferase
K13660	gumM	beta-1,4-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
